Name,Coordinates,Date & Time
image0.jpg,18.401083333333332 -67.78130555555555,2023:04:24 07:06:01
image1.jpg,32.62697222222222 -53.989111111111114,2023:04:24 07:11:04
image2.jpg,44.39844444444444 -35.112611111111114,2023:04:24 07:16:08
image3.jpg,44.733250000000005 -34.33497222222223,2023:04:24 07:16:18
image4.jpg,45.06111111111111 -33.55019444444444,2023:04:24 07:16:29
image5.jpg,45.38113888888889 -32.760333333333335,2023:04:24 07:16:39
image6.jpg,45.69661111111111 -31.95711111111111,2023:04:24 07:16:50
image7.jpg,46.00530555555556 -31.14547222222222,2023:04:24 07:17:00
image8.jpg,46.30716666666667 -30.325388888888888,2023:04:24 07:17:10
image9.jpg,46.60275 -29.49491666666667,2023:04:24 07:17:21
image10.jpg,46.89041666666667 -28.658555555555555,2023:04:24 07:17:31
image11.jpg,47.1725 -27.808972222222224,2023:04:24 07:17:42
image12.jpg,47.44672222222222 -26.95261111111111,2023:04:24 07:17:52
image13.jpg,47.71383333333333 -26.086916666666667,2023:04:24 07:18:02
image14.jpg,47.97380555555556 -25.211555555555556,2023:04:24 07:18:13
image15.jpg,48.225722222222224 -24.329361111111112,2023:04:24 07:18:23
image16.jpg,48.47047222222223 -23.436777777777777,2023:04:24 07:18:33
image17.jpg,48.70802777777778 -22.53355555555556,2023:04:24 07:18:44
image18.jpg,48.9375 -21.62236111111111,2023:04:24 07:18:54
image19.jpg,49.15847222222222 -20.704833333333333,2023:04:24 07:19:05
image20.jpg,49.37175 -19.777305555555554,2023:04:24 07:19:15
image21.jpg,49.57622222222223 -18.84422222222222,2023:04:24 07:19:25
image22.jpg,49.77297222222222 -17.900444444444442,2023:04:24 07:19:36
image23.jpg,49.9615 -16.94725,2023:04:24 07:19:46
image24.jpg,50.14066666666667 -15.990666666666666,2023:04:24 07:19:56
image25.jpg,50.31155555555555 -15.024555555555557,2023:04:24 07:20:07
image26.jpg,50.473222222222226 -14.053805555555556,2023:04:24 07:20:17
image27.jpg,50.626111111111115 -13.07575,2023:04:24 07:20:27
image28.jpg,50.77038888888889 -12.088444444444445,2023:04:24 07:20:38
image29.jpg,50.905249999999995 -11.096916666666667,2023:04:24 07:20:48
image30.jpg,51.03091666666666 -10.099416666666666,2023:04:24 07:20:59
image31.jpg,51.14711111111111 -9.09813888888889,2023:04:24 07:21:09
image32.jpg,51.25416666666667 -8.089722222222223,2023:04:24 07:21:19
image33.jpg,51.35163888888889 -7.077611111111111,2023:04:24 07:21:30
image34.jpg,51.43947222222222 -6.0625277777777775,2023:04:24 07:21:40
image35.jpg,51.517916666666665 -5.0408888888888885,2023:04:24 07:21:50
image36.jpg,51.58658333333334 -4.017138888888889,2023:04:24 07:22:01
image37.jpg,51.64552777777778 -2.990972222222222,2023:04:24 07:22:11
image38.jpg,51.69475 -1.9615277777777778,2023:04:24 07:22:21
image39.jpg,51.73425 -0.9280555555555555,2023:04:24 07:22:32
image40.jpg,51.76380555555556 0.10480555555555557,2023:04:24 07:22:42
image41.jpg,51.7835 1.1371111111111112,2023:04:24 07:22:53
image42.jpg,51.79336111111111 2.170138888888889,2023:04:24 07:23:03
image43.jpg,51.793388888888884 3.205888888888889,2023:04:24 07:23:13
image44.jpg,51.78355555555555 4.238361111111111,2023:04:24 07:23:24
image45.jpg,51.76386111111111 5.272305555555556,2023:04:24 07:23:34
image46.jpg,51.73436111111111 6.303638888888889,2023:04:24 07:23:44
image47.jpg,51.695027777777774 7.334027777777777,2023:04:24 07:23:55
image48.jpg,51.646055555555556 8.359694444444443,2023:04:24 07:24:05
image49.jpg,51.58738888888889 9.382916666666667,2023:04:24 07:24:15
image50.jpg,51.51888888888889 10.405916666666666,2023:04:24 07:24:26
image51.jpg,51.44094444444444 11.422888888888888,2023:04:24 07:24:36
image52.jpg,51.35325 12.438583333333334,2023:04:24 07:24:46
image53.jpg,51.25611111111111 13.448944444444445,2023:04:24 07:24:57
image54.jpg,51.14922222222222 14.457972222222221,2023:04:24 07:25:07
image55.jpg,51.033138888888885 15.459888888888889,2023:04:24 07:25:17
image56.jpg,50.907555555555554 16.45808333333333,2023:04:24 07:25:28
image57.jpg,50.77272222222222 17.450499999999998,2023:04:24 07:25:38
image58.jpg,50.62916666666667 18.43425,2023:04:24 07:25:48
image59.jpg,50.476444444444446 19.412611111111108,2023:04:24 07:25:59
image60.jpg,50.315 20.383277777777778,2023:04:24 07:26:09
image61.jpg,50.14427777777778 21.34969444444444,2023:04:24 07:26:19
image62.jpg,49.96486111111111 22.308611111111112,2023:04:24 07:26:30
image63.jpg,49.777166666666666 23.258472222222224,2023:04:24 07:26:40
image64.jpg,49.58086111111111 24.201333333333334,2023:04:24 07:26:51
image65.jpg,49.3765 25.134944444444443,2023:04:24 07:27:01
image66.jpg,49.16475 26.057083333333335,2023:04:24 07:27:11
image67.jpg,48.94466666666666 26.97208333333333,2023:04:24 07:27:22
image68.jpg,48.71602777777778 27.881305555555556,2023:04:24 07:27:32
image69.jpg,48.4795 28.782083333333333,2023:04:24 07:27:42
image70.jpg,48.23533333333334 29.673861111111112,2023:04:24 07:27:53
image71.jpg,47.98308333333333 30.55863888888889,2023:04:24 07:28:03
image72.jpg,47.72394444444445 31.432472222222223,2023:04:24 07:28:13
image73.jpg,47.45755555555556 32.29713888888889,2023:04:24 07:28:24
image74.jpg,47.184 33.15266666666667,2023:04:24 07:28:34
